batch_idx,layer_idx,original_count,reduced_count,dropped_count,batch_size,reduction_ratio
0,,35,18,17,8,0.5143
0,,36,18,18,8,0.5000
0,,41,18,23,8,0.4390
0,,40,14,26,8,0.3500
0,,40,19,21,8,0.4750
0,,39,18,21,8,0.4615
0,,38,19,19,8,0.5000
0,,41,20,21,8,0.4878
0,,43,13,30,8,0.3023
0,,41,18,23,8,0.4390
0,,38,24,14,8,0.6316
0,,44,24,20,8,0.5455
0,,38,22,16,8,0.5789
0,,40,14,26,8,0.3500
0,,40,17,23,8,0.4250
0,,40,21,19,8,0.5250
0,,40,23,17,8,0.5750
0,,44,23,21,8,0.5227
0,,44,23,21,8,0.5227
0,,40,23,17,8,0.5750
0,,36,21,15,8,0.5833
0,,42,20,22,8,0.4762
0,,39,26,13,8,0.6667
0,,39,21,18,8,0.5385
0,,41,24,17,8,0.5854
0,,39,25,14,8,0.6410
0,,41,29,12,8,0.7073
0,,39,24,15,8,0.6154
0,,40,24,16,8,0.6000
0,,42,30,12,8,0.7143
0,,39,25,14,8,0.6410
0,,37,28,9,8,0.7568
0,,40,25,15,8,0.6250
0,,42,30,12,8,0.7143
0,,45,29,16,8,0.6444
0,,38,29,9,8,0.7632
0,,41,22,19,8,0.5366
0,,42,24,18,8,0.5714
0,,41,25,16,8,0.6098
0,,36,27,9,8,0.7500
0,,39,29,10,8,0.7436
0,,37,20,17,8,0.5405
0,,40,25,15,8,0.6250
0,,41,23,18,8,0.5610
0,,39,25,14,8,0.6410
0,,41,21,20,8,0.5122
0,,39,26,13,8,0.6667
0,,38,26,12,8,0.6842
0,,39,21,18,8,0.5385
0,,39,27,12,8,0.6923
0,,35,25,10,8,0.7143
0,,40,25,15,8,0.6250
0,,43,23,20,8,0.5349
0,,39,25,14,8,0.6410
0,,36,23,13,8,0.6389
0,,39,22,17,8,0.5641
0,,40,16,24,8,0.4000
0,,42,23,19,8,0.5476
0,,41,22,19,8,0.5366
0,,43,20,23,8,0.4651
0,,38,19,19,8,0.5000
0,,40,16,24,8,0.4000
0,,37,16,21,8,0.4324
0,,41,30,11,8,0.7317
0,,43,26,17,8,0.6047
0,,43,20,23,8,0.4651
0,,41,25,16,8,0.6098
0,,39,23,16,8,0.5897
0,,40,27,13,8,0.6750
0,,38,22,16,8,0.5789
0,,41,25,16,8,0.6098
0,,37,17,20,8,0.4595
0,,44,15,29,8,0.3409
0,,41,26,15,8,0.6341
0,,40,23,17,8,0.5750
0,,39,24,15,8,0.6154
0,,36,25,11,8,0.6944
0,,36,22,14,8,0.6111
0,,41,24,17,8,0.5854
0,,38,26,12,8,0.6842
0,,41,29,12,8,0.7073
0,,43,23,20,8,0.5349
0,,41,23,18,8,0.5610
0,,47,20,27,8,0.4255
0,,42,23,19,8,0.5476
0,,43,21,22,8,0.4884
0,,38,21,17,8,0.5526
0,,42,20,22,8,0.4762
0,,39,21,18,8,0.5385
0,,41,24,17,8,0.5854
0,,44,23,21,8,0.5227
0,,42,24,18,8,0.5714
0,,44,20,24,8,0.4545
0,,44,27,17,8,0.6136
0,,42,25,17,8,0.5952
0,,40,23,17,8,0.5750
0,,39,19,20,8,0.4872
0,,44,23,21,8,0.5227
0,,43,26,17,8,0.6047
0,,45,23,22,8,0.5111
0,,42,28,14,8,0.6667
0,,41,28,13,8,0.6829
0,,44,27,17,8,0.6136
0,,40,26,14,8,0.6500
0,,40,26,14,8,0.6500
0,,41,28,13,8,0.6829
0,,41,30,11,8,0.7317
0,,39,23,16,8,0.5897
0,,42,29,13,8,0.6905
0,,41,25,16,8,0.6098
0,,43,25,18,8,0.5814
0,,42,32,10,8,0.7619
0,,39,23,16,8,0.5897
0,,47,24,23,8,0.5106
0,,42,21,21,8,0.5000
0,,41,24,17,8,0.5854
0,,44,26,18,8,0.5909
0,,41,23,18,8,0.5610
0,,39,18,21,8,0.4615
0,,36,19,17,8,0.5278
0,,40,13,27,8,0.3250
0,,39,22,17,8,0.5641
0,,38,20,18,8,0.5263
0,,37,22,15,8,0.5946
0,,42,18,24,8,0.4286
0,,43,23,20,8,0.5349
0,,41,21,20,8,0.5122
0,,39,13,26,8,0.3333
0,,39,18,21,8,0.4615
0,,42,19,23,8,0.4524
0,,36,28,8,8,0.7778
0,,39,22,17,8,0.5641
0,,40,24,16,8,0.6000
0,,39,27,12,8,0.6923
0,,43,19,24,8,0.4419
0,,37,22,15,8,0.5946
