batch_idx,layer_idx,seq_idx,num_tokens,orig_unique_experts,experts_preserved,experts_rerouted
50,,0,1,6,1,5
50,,1,1,6,2,4
50,,2,1,6,1,5
50,,3,1,6,2,4
50,,4,1,6,2,4
50,,5,1,6,1,5
50,,6,1,6,1,5
50,,7,1,6,3,3
50,,8,1,6,0,6
50,,9,1,6,0,6
50,,10,1,6,2,4
50,,11,1,6,0,6
50,,12,1,6,2,4
50,,13,1,6,3,3
50,,14,1,6,1,5
50,,15,1,6,1,5
50,,0,1,6,0,6
50,,1,1,6,3,3
50,,2,1,6,1,5
50,,3,1,6,3,3
50,,4,1,6,4,2
50,,5,1,6,3,3
50,,6,1,6,1,5
50,,7,1,6,1,5
50,,8,1,6,4,2
50,,9,1,6,0,6
50,,10,1,6,3,3
50,,11,1,6,1,5
50,,12,1,6,0,6
50,,13,1,6,1,5
50,,14,1,6,6,0
50,,15,1,6,2,4
50,,0,1,6,3,3
50,,1,1,6,0,6
50,,2,1,6,4,2
50,,3,1,6,4,2
50,,4,1,6,0,6
50,,5,1,6,1,5
50,,6,1,6,2,4
50,,7,1,6,1,5
50,,8,1,6,1,5
50,,9,1,6,1,5
50,,10,1,6,6,0
50,,11,1,6,2,4
50,,12,1,6,1,5
50,,13,1,6,1,5
50,,14,1,6,5,1
50,,15,1,6,3,3
50,,0,1,6,2,4
50,,1,1,6,2,4
50,,2,1,6,3,3
50,,3,1,6,4,2
50,,4,1,6,0,6
50,,5,1,6,1,5
50,,6,1,6,1,5
50,,7,1,6,4,2
50,,8,1,6,1,5
50,,9,1,6,1,5
50,,10,1,6,4,2
50,,11,1,6,1,5
50,,12,1,6,3,3
50,,13,1,6,0,6
50,,14,1,6,3,3
50,,15,1,6,0,6
50,,0,1,6,4,2
50,,1,1,6,1,5
50,,2,1,6,4,2
50,,3,1,6,6,0
50,,4,1,6,2,4
50,,5,1,6,2,4
50,,6,1,6,1,5
50,,7,1,6,1,5
50,,8,1,6,1,5
50,,9,1,6,1,5
50,,10,1,6,1,5
50,,11,1,6,0,6
50,,12,1,6,3,3
50,,13,1,6,1,5
50,,14,1,6,3,3
50,,15,1,6,5,1
50,,0,1,6,3,3
50,,1,1,6,4,2
50,,2,1,6,3,3
50,,3,1,6,5,1
50,,4,1,6,0,6
50,,5,1,6,1,5
50,,6,1,6,1,5
50,,7,1,6,0,6
50,,8,1,6,4,2
50,,9,1,6,1,5
50,,10,1,6,6,0
50,,11,1,6,1,5
50,,12,1,6,1,5
50,,13,1,6,1,5
50,,14,1,6,3,3
50,,15,1,6,5,1
50,,0,1,6,1,5
50,,1,1,6,2,4
50,,2,1,6,3,3
50,,3,1,6,5,1
50,,4,1,6,1,5
50,,5,1,6,1,5
50,,6,1,6,5,1
50,,7,1,6,1,5
50,,8,1,6,2,4
50,,9,1,6,3,3
50,,10,1,6,3,3
50,,11,1,6,3,3
50,,12,1,6,1,5
50,,13,1,6,2,4
50,,14,1,6,5,1
50,,15,1,6,5,1
50,,0,1,6,1,5
50,,1,1,6,4,2
50,,2,1,6,2,4
50,,3,1,6,3,3
50,,4,1,6,1,5
50,,5,1,6,0,6
50,,6,1,6,6,0
50,,7,1,6,1,5
50,,8,1,6,4,2
50,,9,1,6,3,3
50,,10,1,6,5,1
50,,11,1,6,3,3
50,,12,1,6,1,5
50,,13,1,6,1,5
50,,14,1,6,4,2
50,,15,1,6,2,4
50,,0,1,6,2,4
50,,1,1,6,0,6
50,,2,1,6,2,4
50,,3,1,6,5,1
50,,4,1,6,0,6
50,,5,1,6,4,2
50,,6,1,6,3,3
50,,7,1,6,1,5
50,,8,1,6,2,4
50,,9,1,6,2,4
50,,10,1,6,5,1
50,,11,1,6,4,2
50,,12,1,6,1,5
50,,13,1,6,2,4
50,,14,1,6,5,1
50,,15,1,6,4,2
50,,0,1,6,3,3
50,,1,1,6,1,5
50,,2,1,6,3,3
50,,3,1,6,3,3
50,,4,1,6,2,4
50,,5,1,6,3,3
50,,6,1,6,3,3
50,,7,1,6,0,6
50,,8,1,6,5,1
50,,9,1,6,2,4
50,,10,1,6,2,4
50,,11,1,6,0,6
50,,12,1,6,0,6
50,,13,1,6,1,5
50,,14,1,6,6,0
50,,15,1,6,5,1
50,,0,1,6,1,5
50,,1,1,6,1,5
50,,2,1,6,1,5
50,,3,1,6,5,1
50,,4,1,6,2,4
50,,5,1,6,0,6
50,,6,1,6,3,3
50,,7,1,6,2,4
50,,8,1,6,3,3
50,,9,1,6,3,3
50,,10,1,6,5,1
50,,11,1,6,1,5
50,,12,1,6,4,2
50,,13,1,6,4,2
50,,14,1,6,3,3
50,,15,1,6,4,2
50,,0,1,6,1,5
50,,1,1,6,2,4
50,,2,1,6,0,6
50,,3,1,6,4,2
50,,4,1,6,2,4
50,,5,1,6,0,6
50,,6,1,6,1,5
50,,7,1,6,1,5
50,,8,1,6,4,2
50,,9,1,6,1,5
50,,10,1,6,6,0
50,,11,1,6,1,5
50,,12,1,6,5,1
50,,13,1,6,1,5
50,,14,1,6,3,3
50,,15,1,6,4,2
50,,0,1,6,2,4
50,,1,1,6,2,4
50,,2,1,6,0,6
50,,3,1,6,5,1
50,,4,1,6,2,4
50,,5,1,6,4,2
50,,6,1,6,0,6
50,,7,1,6,2,4
50,,8,1,6,6,0
50,,9,1,6,2,4
50,,10,1,6,6,0
50,,11,1,6,0,6
50,,12,1,6,0,6
50,,13,1,6,2,4
50,,14,1,6,2,4
50,,15,1,6,5,1
50,,0,1,6,3,3
50,,1,1,6,2,4
50,,2,1,6,0,6
50,,3,1,6,5,1
50,,4,1,6,3,3
50,,5,1,6,1,5
50,,6,1,6,4,2
50,,7,1,6,3,3
50,,8,1,6,5,1
50,,9,1,6,2,4
50,,10,1,6,5,1
50,,11,1,6,0,6
50,,12,1,6,0,6
50,,13,1,6,1,5
50,,14,1,6,4,2
50,,15,1,6,5,1
50,,0,1,6,1,5
50,,1,1,6,3,3
50,,2,1,6,0,6
50,,3,1,6,5,1
50,,4,1,6,1,5
50,,5,1,6,0,6
50,,6,1,6,2,4
50,,7,1,6,2,4
50,,8,1,6,1,5
50,,9,1,6,3,3
50,,10,1,6,3,3
50,,11,1,6,0,6
50,,12,1,6,1,5
50,,13,1,6,2,4
50,,14,1,6,5,1
50,,15,1,6,3,3
50,,0,1,6,2,4
50,,1,1,6,5,1
50,,2,1,6,5,1
50,,3,1,6,4,2
50,,4,1,6,3,3
50,,5,1,6,2,4
50,,6,1,6,1,5
50,,7,1,6,2,4
50,,8,1,6,4,2
50,,9,1,6,0,6
50,,10,1,6,5,1
50,,11,1,6,2,4
50,,12,1,6,4,2
50,,13,1,6,4,2
50,,14,1,6,6,0
50,,15,1,6,4,2
50,,0,1,6,2,4
50,,1,1,6,3,3
50,,2,1,6,2,4
50,,3,1,6,5,1
50,,4,1,6,2,4
50,,5,1,6,1,5
50,,6,1,6,4,2
50,,7,1,6,2,4
50,,8,1,6,6,0
50,,9,1,6,1,5
50,,10,1,6,5,1
50,,11,1,6,1,5
50,,12,1,6,2,4
50,,13,1,6,3,3
50,,14,1,6,4,2
50,,15,1,6,4,2
50,,0,1,6,1,5
50,,1,1,6,4,2
50,,2,1,6,6,0
50,,3,1,6,5,1
50,,4,1,6,5,1
50,,5,1,6,3,3
50,,6,1,6,2,4
50,,7,1,6,3,3
50,,8,1,6,1,5
50,,9,1,6,0,6
50,,10,1,6,4,2
50,,11,1,6,3,3
50,,12,1,6,5,1
50,,13,1,6,3,3
50,,14,1,6,4,2
50,,15,1,6,3,3
50,,0,1,6,1,5
50,,1,1,6,2,4
50,,2,1,6,4,2
50,,3,1,6,4,2
50,,4,1,6,5,1
50,,5,1,6,5,1
50,,6,1,6,3,3
50,,7,1,6,4,2
50,,8,1,6,5,1
50,,9,1,6,3,3
50,,10,1,6,5,1
50,,11,1,6,0,6
50,,12,1,6,5,1
50,,13,1,6,4,2
50,,14,1,6,4,2
50,,15,1,6,5,1
50,,0,1,6,2,4
50,,1,1,6,4,2
50,,2,1,6,5,1
50,,3,1,6,6,0
50,,4,1,6,1,5
50,,5,1,6,5,1
50,,6,1,6,2,4
50,,7,1,6,1,5
50,,8,1,6,5,1
50,,9,1,6,1,5
50,,10,1,6,5,1
50,,11,1,6,1,5
50,,12,1,6,3,3
